Name,Country,Profile,Period,Commodity,TradingDate,ExpiryDate,Contract,Underlying,Maturity,DeliveryStart,DeliveryEnd,Unit,ContractVolume,Type,Strike,SettlementPrice
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,48.5,4.141
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,49,4.458
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,49.5,4.787
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,50,5.128
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,41.5,6.541
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,38.5,8.98
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,39,8.551
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,39.5,8.13
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,40,7.718
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,40.5,7.315
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,41,6.922
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,46.5,3.004
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,47,3.268
